========Trial 0 params: {'n_layers': 2, 'K': 3, 'Dropout': 0.3, 'Hidden0': 32, 'Hidden1': 256, 'optimizer': 'Adam', 'lr': 0.014841171742650953, 'batch': 32}===========
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|     sptH.0.sAtt.Vs     |    729     |
|     sptH.0.sAtt.bs     |    729     |
|     sptH.0.sAtt.W1     |     24     |
|     sptH.0.sAtt.W2     |     24     |
|     sptH.0.sAtt.W3     |     1      |
|   sptH.0.gcn.weight    |    2304    |
|    sptH.0.gcn.bias     |     32     |
| sptH.0.timeConv.weight |     3      |
|  sptH.0.timeConv.bias  |     1      |
|     sptH.2.sAtt.Vs     |    729     |
|     sptH.2.sAtt.bs     |    729     |
|     sptH.2.sAtt.W1     |     32     |
|     sptH.2.sAtt.W2     |     32     |
|     sptH.2.sAtt.W3     |     1      |
|   sptH.2.gcn.weight    |   24576    |
|    sptH.2.gcn.bias     |    256     |
| sptH.2.timeConv.weight |     3      |
|  sptH.2.timeConv.bias  |     1      |
|     sptH.4.weight      |    3072    |
|      sptH.4.bias       |     12     |
|     sptD.0.sAtt.Vs     |    729     |
|     sptD.0.sAtt.bs     |    729     |
|     sptD.0.sAtt.W1     |     12     |
|     sptD.0.sAtt.W2     |     12     |
|     sptD.0.sAtt.W3     |     1      |
|   sptD.0.gcn.weight    |    1152    |
|    sptD.0.gcn.bias     |     32     |
| sptD.0.timeConv.weight |     3      |
|  sptD.0.timeConv.bias  |     1      |
|     sptD.2.sAtt.Vs     |    729     |
|     sptD.2.sAtt.bs     |    729     |
|     sptD.2.sAtt.W1     |     32     |
|     sptD.2.sAtt.W2     |     32     |
|     sptD.2.sAtt.W3     |     1      |
|   sptD.2.gcn.weight    |   24576    |
|    sptD.2.gcn.bias     |    256     |
| sptD.2.timeConv.weight |     3      |
|  sptD.2.timeConv.bias  |     1      |
|     sptD.4.weight      |    3072    |
|      sptD.4.bias       |     12     |
|     sptW.0.sAtt.Vs     |    729     |
|     sptW.0.sAtt.bs     |    729     |
|     sptW.0.sAtt.W1     |     24     |
|     sptW.0.sAtt.W2     |     24     |
|     sptW.0.sAtt.W3     |     1      |
|   sptW.0.gcn.weight    |    2304    |
|    sptW.0.gcn.bias     |     32     |
| sptW.0.timeConv.weight |     3      |
|  sptW.0.timeConv.bias  |     1      |
|     sptW.2.sAtt.Vs     |    729     |
|     sptW.2.sAtt.bs     |    729     |
|     sptW.2.sAtt.W1     |     32     |
|     sptW.2.sAtt.W2     |     32     |
|     sptW.2.sAtt.W3     |     1      |
|   sptW.2.gcn.weight    |   24576    |
|    sptW.2.gcn.bias     |    256     |
| sptW.2.timeConv.weight |     3      |
|  sptW.2.timeConv.bias  |     1      |
|     sptW.4.weight      |    3072    |
|      sptW.4.bias       |     12     |
|       Fusion.Wh        |     12     |
|       Fusion.Wd        |     12     |
|       Fusion.Ww        |     12     |
+------------------------+------------+
Total Trainable Params: 98730
 Trial: 0 Epoch: 0, train_loss: 108917.75390625, validation_loss = 9993.1728515625
 Trial: 52 Epoch: 40, train_loss: 20970.460815429688, validation_loss = 2972.6361083984375
 Trial: 52 Epoch: 41, train_loss: 20397.159423828125, validation_loss = 2672.04443359375
 Trial: 52 Epoch: 42, train_loss: 19940.858459472656, validation_loss = 2696.8487548828125
 Trial: 52 Epoch: 43, train_loss: 21904.45458984375, validation_loss = 3130.706787109375
 Trial: 52 Epoch: 44, train_loss: 20585.978271484375, validation_loss = 3492.5123291015625
 Trial: 52 Epoch: 45, train_loss: 22185.813354492188, validation_loss = 2873.389404296875
 Trial: 52 Epoch: 46, train_loss: 21502.964111328125, validation_loss = 5264.91943359375
 Trial: 52 Epoch: 47, train_loss: 22074.598754882812, validation_loss = 3008.15234375
 Trial: 52 Epoch: 48, train_loss: 22752.758056640625, validation_loss = 2973.082275390625
 Trial: 52 Epoch: 49, train_loss: 19871.805419921875, validation_loss = 3884.2586669921875
 Trial: 52 Epoch: 50, train_loss: 22000.331298828125, validation_loss = 3168.814453125
 Trial: 52 Epoch: 51, train_loss: 20165.650634765625, validation_loss = 3275.4342041015625
 Trial: 52 Epoch: 52, train_loss: 21261.04150390625, validation_loss = 3601.193115234375
 Trial: 52 Epoch: 53, train_loss: 24375.833984375, validation_loss = 2694.525390625
 Trial: 52 Epoch: 54, train_loss: 23531.512084960938, validation_loss = 3065.6724853515625
 Trial: 52 Epoch: 55, train_loss: 21586.926025390625, validation_loss = 2966.4869384765625
 Trial: 52 Epoch: 56, train_loss: 20072.790405273438, validation_loss = 2801.7359619140625
 Trial: 52 Epoch: 57, train_loss: 22454.321411132812, validation_loss = 3102.9197998046875
 Trial: 52 Epoch: 58, train_loss: 22767.305419921875, validation_loss = 2908.28271484375
 Trial: 52 Epoch: 59, train_loss: 20996.646911621094, validation_loss = 2832.3623046875
 Trial: 52 Epoch: 60, train_loss: 21603.614501953125, validation_loss = 2716.60986328125
 Trial: 52 Epoch: 61, train_loss: 23353.041259765625, validation_loss = 3486.4317626953125
 Trial: 52 Epoch: 62, train_loss: 21445.11328125, validation_loss = 2960.04296875
 Trial: 52 Epoch: 63, train_loss: 20103.392456054688, validation_loss = 3017.5352783203125
 Trial: 52 Epoch: 64, train_loss: 19602.4345703125, validation_loss = 3180.662109375
 Trial: 52 Epoch: 65, train_loss: 20755.947998046875, validation_loss = 2848.1551513671875
 Trial: 52 Epoch: 66, train_loss: 20962.74725341797, validation_loss = 3309.156494140625
 Trial: 52 Epoch: 67, train_loss: 20407.127563476562, validation_loss = 2701.339599609375
 Trial: 52 Epoch: 68, train_loss: 20408.370849609375, validation_loss = 2810.8438720703125
 Trial: 52 Epoch: 69, train_loss: 18630.155639648438, validation_loss = 2779.21484375
 Trial: 52 Epoch: 70, train_loss: 20295.25714111328, validation_loss = 3865.7879638671875
 Trial: 52 Epoch: 71, train_loss: 19451.627319335938, validation_loss = 2669.272705078125
 Trial: 52 Epoch: 72, train_loss: 19089.36004638672, validation_loss = 2701.8433837890625
 Trial: 52 Epoch: 73, train_loss: 19822.662475585938, validation_loss = 3181.759033203125
 Trial: 52 Epoch: 74, train_loss: 19258.682250976562, validation_loss = 3016.5821533203125
 Trial: 52 Epoch: 75, train_loss: 19664.65692138672, validation_loss = 3332.077880859375
 Trial: 52 Epoch: 76, train_loss: 21459.73126220703, validation_loss = 3491.5028076171875
 Trial: 52 Epoch: 77, train_loss: 20803.89892578125, validation_loss = 2904.68603515625
 Trial: 52 Epoch: 78, train_loss: 18764.809448242188, validation_loss = 2630.309814453125
 Trial: 52 Epoch: 79, train_loss: 22003.70965576172, validation_loss = 4118.66162109375
 Trial: 52 Epoch: 80, train_loss: 20325.69903564453, validation_loss = 2885.1160888671875
 Trial: 52 Epoch: 81, train_loss: 19219.513793945312, validation_loss = 3108.0401611328125
 Trial: 52 Epoch: 82, train_loss: 19688.430053710938, validation_loss = 3403.071533203125
 Trial: 52 Epoch: 83, train_loss: 19305.44891357422, validation_loss = 2772.196533203125
 Trial: 52 Epoch: 84, train_loss: 19222.060302734375, validation_loss = 2648.4820556640625
 Trial: 52 Epoch: 85, train_loss: 19053.139709472656, validation_loss = 2979.9381103515625
 Trial: 52 Epoch: 86, train_loss: 19988.228576660156, validation_loss = 2734.306396484375
 Trial: 52 Epoch: 87, train_loss: 22151.129760742188, validation_loss = 4126.78369140625
 Trial: 52 Epoch: 88, train_loss: 19567.660766601562, validation_loss = 2570.5555419921875
 Trial: 52 Epoch: 89, train_loss: 21346.629028320312, validation_loss = 3217.969482421875
 Trial: 52 Epoch: 90, train_loss: 19603.973876953125, validation_loss = 3662.81689453125
 Trial: 52 Epoch: 91, train_loss: 20399.278564453125, validation_loss = 2834.038818359375
 Trial: 52 Epoch: 92, train_loss: 19897.691467285156, validation_loss = 2924.8282470703125
 Trial: 52 Epoch: 93, train_loss: 19016.116455078125, validation_loss = 2662.71435546875
 Trial: 52 Epoch: 94, train_loss: 21324.177978515625, validation_loss = 3294.463134765625
 Trial: 52 Epoch: 95, train_loss: 21772.63067626953, validation_loss = 2898.000244140625
 Trial: 52 Epoch: 96, train_loss: 20144.465942382812, validation_loss = 2833.9547119140625
 Trial: 52 Epoch: 97, train_loss: 18846.50323486328, validation_loss = 2585.7066650390625
 Trial: 52 Epoch: 98, train_loss: 19141.52783203125, validation_loss = 2855.6312255859375
 Trial: 52 Epoch: 99, train_loss: 19544.230041503906, validation_loss = 3301.158935546875
========Trial 53 params: {'n_layers': 1, 'K': 2, 'Dropout': 0.2, 'Hidden0': 256, 'optimizer': 'Adam', 'lr': 0.016561190933037765, 'batch': 4}===========
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|     sptH.0.sAtt.Vs     |    729     |
|     sptH.0.sAtt.bs     |    729     |
|     sptH.0.sAtt.W1     |     24     |
|     sptH.0.sAtt.W2     |     24     |
|     sptH.0.sAtt.W3     |     1      |
|   sptH.0.gcn.weight    |   12288    |
|    sptH.0.gcn.bias     |    256     |
| sptH.0.timeConv.weight |     3      |
|  sptH.0.timeConv.bias  |     1      |
|     sptH.2.weight      |    3072    |
|      sptH.2.bias       |     12     |
|     sptD.0.sAtt.Vs     |    729     |
|     sptD.0.sAtt.bs     |    729     |
|     sptD.0.sAtt.W1     |     12     |
|     sptD.0.sAtt.W2     |     12     |
|     sptD.0.sAtt.W3     |     1      |
|   sptD.0.gcn.weight    |    6144    |
|    sptD.0.gcn.bias     |    256     |
| sptD.0.timeConv.weight |     3      |
|  sptD.0.timeConv.bias  |     1      |
|     sptD.2.weight      |    3072    |
|      sptD.2.bias       |     12     |
|     sptW.0.sAtt.Vs     |    729     |
|     sptW.0.sAtt.bs     |    729     |
|     sptW.0.sAtt.W1     |     24     |
|     sptW.0.sAtt.W2     |     24     |
|     sptW.0.sAtt.W3     |     1      |
|   sptW.0.gcn.weight    |   12288    |
|    sptW.0.gcn.bias     |    256     |
| sptW.0.timeConv.weight |     3      |
|  sptW.0.timeConv.bias  |     1      |
|     sptW.2.weight      |    3072    |
|      sptW.2.bias       |     12     |
|       Fusion.Wh        |     12     |
|       Fusion.Wd        |     12     |
|       Fusion.Ww        |     12     |
+------------------------+------------+
Total Trainable Params: 45285
 Trial: 53 Epoch: 0, train_loss: 133494.50830078125, validation_loss = 6113.864501953125
 Trial: 53 Epoch: 1, train_loss: 45525.86975097656, validation_loss = 4912.5859375
 Trial: 53 Epoch: 2, train_loss: 38592.1259765625, validation_loss = 5091.74951171875
 Trial: 53 Epoch: 3, train_loss: 41536.146484375, validation_loss = 5586.120849609375
 Trial: 53 Epoch: 4, train_loss: 58117.1572265625, validation_loss = 3922.099609375
 Trial: 53 Epoch: 5, train_loss: 44210.66760253906, validation_loss = 8103.257568359375
 Trial: 53 Epoch: 6, train_loss: 29073.650268554688, validation_loss = 5001.43017578125
 Trial: 53 Epoch: 7, train_loss: 27414.188842773438, validation_loss = 4191.8690185546875
 Trial: 53 Epoch: 8, train_loss: 26290.179809570312, validation_loss = 3575.4854736328125
 Trial: 53 Epoch: 9, train_loss: 25540.906494140625, validation_loss = 3372.80517578125
 Trial: 53 Epoch: 10, train_loss: 26127.28466796875, validation_loss = 4924.2822265625
 Trial: 53 Epoch: 11, train_loss: 27696.164184570312, validation_loss = 5082.802978515625
 Trial: 53 Epoch: 12, train_loss: 29762.631225585938, validation_loss = 3353.079833984375
 Trial: 53 Epoch: 13, train_loss: 26692.197021484375, validation_loss = 6043.2490234375
 Trial: 53 Epoch: 14, train_loss: 26956.135375976562, validation_loss = 3462.0205078125
 Trial: 53 Epoch: 15, train_loss: 23648.9248046875, validation_loss = 3619.8541259765625
 Trial: 53 Epoch: 16, train_loss: 22147.69110107422, validation_loss = 3299.5877685546875
 Trial: 53 Epoch: 17, train_loss: 21556.895263671875, validation_loss = 3978.931640625
 Trial: 53 Epoch: 18, train_loss: 24701.496459960938, validation_loss = 3351.8203125
 Trial: 53 Epoch: 19, train_loss: 24036.038208007812, validation_loss = 3415.54638671875
 Trial: 53 Epoch: 20, train_loss: 23405.83837890625, validation_loss = 3163.422607421875
 Trial: 53 Epoch: 21, train_loss: 23938.576416015625, validation_loss = 4852.2872314453125
 Trial: 53 Epoch: 22, train_loss: 26517.110229492188, validation_loss = 3965.3819580078125
 Trial: 53 Epoch: 23, train_loss: 25071.00665283203, validation_loss = 4332.49072265625
 Trial: 53 Epoch: 24, train_loss: 27284.749267578125, validation_loss = 3975.5562744140625
 Trial: 53 Epoch: 25, train_loss: 24928.4609375, validation_loss = 4155.2608642578125
 Trial: 53 Epoch: 26, train_loss: 24075.250366210938, validation_loss = 3442.4764404296875
 Trial: 53 Epoch: 27, train_loss: 23072.52655029297, validation_loss = 3024.79443359375
 Trial: 53 Epoch: 28, train_loss: 23538.426147460938, validation_loss = 2962.6435546875
 Trial: 53 Epoch: 29, train_loss: 26710.672973632812, validation_loss = 2952.1964111328125
 Trial: 53 Epoch: 30, train_loss: 23717.448852539062, validation_loss = 4450.31640625
 Trial: 53 Epoch: 31, train_loss: 24151.95654296875, validation_loss = 3424.5291748046875
 Trial: 53 Epoch: 32, train_loss: 25423.786987304688, validation_loss = 3112.586669921875
 Trial: 53 Epoch: 33, train_loss: 20970.82159423828, validation_loss = 3660.616455078125
 Trial: 53 Epoch: 34, train_loss: 23407.796264648438, validation_loss = 2762.25537109375
 Trial: 53 Epoch: 35, train_loss: 21051.94384765625, validation_loss = 3610.5335693359375
 Trial: 53 Epoch: 36, train_loss: 24277.609008789062, validation_loss = 3371.2440185546875
 Trial: 53 Epoch: 37, train_loss: 22600.273071289062, validation_loss = 3455.506591796875
 Trial: 53 Epoch: 38, train_loss: 21061.373046875, validation_loss = 3077.168701171875
 Trial: 53 Epoch: 39, train_loss: 19428.922973632812, validation_loss = 2875.20751953125
 Trial: 53 Epoch: 40, train_loss: 19227.97821044922, validation_loss = 2758.7032470703125
 Trial: 53 Epoch: 41, train_loss: 18627.248779296875, validation_loss = 2586.5572509765625
 Trial: 53 Epoch: 42, train_loss: 19761.907348632812, validation_loss = 2581.13134765625
 Trial: 53 Epoch: 43, train_loss: 20816.867919921875, validation_loss = 3327.83740234375
 Trial: 53 Epoch: 44, train_loss: 20838.58154296875, validation_loss = 2920.233642578125
 Trial: 53 Epoch: 45, train_loss: 22643.570068359375, validation_loss = 2860.4395751953125
 Trial: 53 Epoch: 46, train_loss: 21166.049682617188, validation_loss = 4609.888427734375
 Trial: 53 Epoch: 47, train_loss: 20317.969665527344, validation_loss = 2673.8377685546875
 Trial: 53 Epoch: 48, train_loss: 20369.659057617188, validation_loss = 2836.301513671875
 Trial: 53 Epoch: 49, train_loss: 19797.389709472656, validation_loss = 3092.695556640625
 Trial: 53 Epoch: 50, train_loss: 20297.89862060547, validation_loss = 2987.8623046875
 Trial: 53 Epoch: 51, train_loss: 18936.681762695312, validation_loss = 3138.4840087890625
 Trial: 53 Epoch: 52, train_loss: 19809.805725097656, validation_loss = 3222.13232421875
 Trial: 53 Epoch: 53, train_loss: 22663.717834472656, validation_loss = 2547.2149658203125
 Trial: 53 Epoch: 54, train_loss: 22848.140991210938, validation_loss = 2646.9207763671875
 Trial: 53 Epoch: 55, train_loss: 19249.905151367188, validation_loss = 2789.9378662109375
 Trial: 53 Epoch: 56, train_loss: 18824.957641601562, validation_loss = 2608.27490234375
 Trial: 53 Epoch: 57, train_loss: 18980.822998046875, validation_loss = 3116.505859375
 Trial: 53 Epoch: 58, train_loss: 19670.581298828125, validation_loss = 3106.24609375
 Trial: 53 Epoch: 59, train_loss: 19709.607543945312, validation_loss = 2513.5018310546875
 Trial: 53 Epoch: 60, train_loss: 18742.484375, validation_loss = 2633.97802734375
 Trial: 53 Epoch: 61, train_loss: 19977.8720703125, validation_loss = 3173.1976318359375
 Trial: 53 Epoch: 62, train_loss: 18513.021606445312, validation_loss = 2727.1002197265625
 Trial: 53 Epoch: 63, train_loss: 18134.06964111328, validation_loss = 2887.1370849609375
 Trial: 53 Epoch: 64, train_loss: 17577.878295898438, validation_loss = 2866.0892333984375
 Trial: 53 Epoch: 65, train_loss: 17876.59735107422, validation_loss = 2651.8016357421875
 Trial: 53 Epoch: 66, train_loss: 17404.09149169922, validation_loss = 2806.3564453125
 Trial: 53 Epoch: 67, train_loss: 20764.109619140625, validation_loss = 3348.85107421875
 Trial: 53 Epoch: 68, train_loss: 20585.92608642578, validation_loss = 2552.5849609375
 Trial: 53 Epoch: 69, train_loss: 18391.791870117188, validation_loss = 2742.6314697265625
 Trial: 53 Epoch: 70, train_loss: 20135.252075195312, validation_loss = 3338.361083984375
 Trial: 53 Epoch: 71, train_loss: 17753.507080078125, validation_loss = 2557.4652099609375
 Trial: 53 Epoch: 72, train_loss: 18846.523498535156, validation_loss = 2477.9808349609375
 Trial: 53 Epoch: 73, train_loss: 18208.560974121094, validation_loss = 2762.278564453125
 Trial: 53 Epoch: 74, train_loss: 17498.95751953125, validation_loss = 2976.4561767578125
 Trial: 53 Epoch: 75, train_loss: 17470.944274902344, validation_loss = 3261.9422607421875
 Trial: 53 Epoch: 76, train_loss: 19519.61749267578, validation_loss = 3637.7276611328125
 Trial: 53 Epoch: 77, train_loss: 20839.450927734375, validation_loss = 2483.2886962890625
 Trial: 53 Epoch: 78, train_loss: 17404.889892578125, validation_loss = 2632.2935791015625
 Trial: 53 Epoch: 79, train_loss: 21475.253051757812, validation_loss = 3285.7193603515625
 Trial: 53 Epoch: 80, train_loss: 18657.305236816406, validation_loss = 2552.5435791015625
 Trial: 53 Epoch: 81, train_loss: 17873.163208007812, validation_loss = 2823.1859130859375
 Trial: 53 Epoch: 82, train_loss: 18276.28497314453, validation_loss = 3000.499755859375
 Trial: 53 Epoch: 83, train_loss: 18634.754455566406, validation_loss = 2863.5126953125
 Trial: 53 Epoch: 84, train_loss: 17380.700622558594, validation_loss = 2702.8004150390625
 Trial: 53 Epoch: 85, train_loss: 17363.0302734375, validation_loss = 2865.5198974609375
 Trial: 53 Epoch: 86, train_loss: 17163.671020507812, validation_loss = 2646.7845458984375
 Trial: 53 Epoch: 87, train_loss: 17720.86541748047, validation_loss = 2791.1552734375
 Trial: 53 Epoch: 88, train_loss: 18143.95831298828, validation_loss = 2487.3902587890625
 Trial: 53 Epoch: 89, train_loss: 19495.404663085938, validation_loss = 2416.470703125
 Trial: 53 Epoch: 90, train_loss: 17737.73211669922, validation_loss = 4367.82177734375
 Trial: 53 Epoch: 91, train_loss: 18955.983276367188, validation_loss = 2669.4986572265625
 Trial: 53 Epoch: 92, train_loss: 17889.104858398438, validation_loss = 3089.267333984375
 Trial: 53 Epoch: 93, train_loss: 18100.450927734375, validation_loss = 2381.1043701171875
 Trial: 53 Epoch: 94, train_loss: 18434.19842529297, validation_loss = 3066.3267822265625
 Trial: 53 Epoch: 95, train_loss: 18310.53302001953, validation_loss = 3083.4566650390625
 Trial: 53 Epoch: 96, train_loss: 21732.44903564453, validation_loss = 2541.3974609375
 Trial: 53 Epoch: 97, train_loss: 16584.25146484375, validation_loss = 2567.4095458984375
 Trial: 53 Epoch: 98, train_loss: 16771.43328857422, validation_loss = 2458.3221435546875
 Trial: 53 Epoch: 99, train_loss: 17695.11376953125, validation_loss = 2893.1824951171875
========Trial 54 params: {'n_layers': 1, 'K': 2, 'Dropout': 0.2, 'Hidden0': 256, 'optimizer': 'Adam', 'lr': 0.025806401478048694, 'batch': 4}===========
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|     sptH.0.sAtt.Vs     |    729     |
|     sptH.0.sAtt.bs     |    729     |
|     sptH.0.sAtt.W1     |     24     |
|     sptH.0.sAtt.W2     |     24     |
|     sptH.0.sAtt.W3     |     1      |
|   sptH.0.gcn.weight    |   12288    |
|    sptH.0.gcn.bias     |    256     |
| sptH.0.timeConv.weight |     3      |
|  sptH.0.timeConv.bias  |     1      |
|     sptH.2.weight      |    3072    |
|      sptH.2.bias       |     12     |
|     sptD.0.sAtt.Vs     |    729     |
|     sptD.0.sAtt.bs     |    729     |
|     sptD.0.sAtt.W1     |     12     |
|     sptD.0.sAtt.W2     |     12     |
|     sptD.0.sAtt.W3     |     1      |
|   sptD.0.gcn.weight    |    6144    |
|    sptD.0.gcn.bias     |    256     |
| sptD.0.timeConv.weight |     3      |
|  sptD.0.timeConv.bias  |     1      |
|     sptD.2.weight      |    3072    |
|      sptD.2.bias       |     12     |
|     sptW.0.sAtt.Vs     |    729     |
|     sptW.0.sAtt.bs     |    729     |
|     sptW.0.sAtt.W1     |     24     |
|     sptW.0.sAtt.W2     |     24     |
|     sptW.0.sAtt.W3     |     1      |
|   sptW.0.gcn.weight    |   12288    |
|    sptW.0.gcn.bias     |    256     |
| sptW.0.timeConv.weight |     3      |
|  sptW.0.timeConv.bias  |     1      |
|     sptW.2.weight      |    3072    |
|      sptW.2.bias       |     12     |
|       Fusion.Wh        |     12     |
|       Fusion.Wd        |     12     |
|       Fusion.Ww        |     12     |
+------------------------+------------+
Total Trainable Params: 45285
 Trial: 54 Epoch: 0, train_loss: 116396.91442871094, validation_loss = 5869.95751953125
 Trial: 54 Epoch: 1, train_loss: 48092.1845703125, validation_loss = 6654.359619140625
 Trial: 54 Epoch: 2, train_loss: 41877.25842285156, validation_loss = 5886.416259765625
========Trial 55 params: {'n_layers': 1, 'K': 2, 'Dropout': 0.5, 'Hidden0': 256, 'optimizer': 'Adam', 'lr': 0.015788546897828683, 'batch': 4}===========
+------------------------+------------+
|        Modules         | Parameters |
+------------------------+------------+
|     sptH.0.sAtt.Vs     |    729     |
|     sptH.0.sAtt.bs     |    729     |
|     sptH.0.sAtt.W1     |     24     |
|     sptH.0.sAtt.W2     |     24     |
|     sptH.0.sAtt.W3     |     1      |
|   sptH.0.gcn.weight    |   12288    |
|    sptH.0.gcn.bias     |    256     |
| sptH.0.timeConv.weight |     3      |
|  sptH.0.timeConv.bias  |     1      |
|     sptH.2.weight      |    3072    |
|      sptH.2.bias       |     12     |
|     sptD.0.sAtt.Vs     |    729     |
|     sptD.0.sAtt.bs     |    729     |
|     sptD.0.sAtt.W1     |     12     |
|     sptD.0.sAtt.W2     |     12     |
|     sptD.0.sAtt.W3     |     1      |
|   sptD.0.gcn.weight    |    6144    |
|    sptD.0.gcn.bias     |    256     |
| sptD.0.timeConv.weight |     3      |
|  sptD.0.timeConv.bias  |     1      |
|     sptD.2.weight      |    3072    |
|      sptD.2.bias       |     12     |
|     sptW.0.sAtt.Vs     |    729     |
|     sptW.0.sAtt.bs     |    729     |
|     sptW.0.sAtt.W1     |     24     |
|     sptW.0.sAtt.W2     |     24     |
|     sptW.0.sAtt.W3     |     1      |
|   sptW.0.gcn.weight    |   12288    |
|    sptW.0.gcn.bias     |    256     |
| sptW.0.timeConv.weight |     3      |
|  sptW.0.timeConv.bias  |     1      |
|     sptW.2.weight      |    3072    |
|      sptW.2.bias       |     12     |
|       Fusion.Wh        |     12     |
|       Fusion.Wd        |     12     |
|       Fusion.Ww        |     12     |
+------------------------+------------+
Total Trainable Params: 45285
 Trial: 55 Epoch: 0, train_loss: 151010.0166015625, validation_loss = 6371.6005859375
 Trial: 55 Epoch: 1, train_loss: 53777.75939941406, validation_loss = 5360.3232421875
 Trial: 55 Epoch: 2, train_loss: 42177.2333984375, validation_loss = 5331.2916259765625
 Trial: 55 Epoch: 3, train_loss: 46612.09765625, validation_loss = 5627.00732421875
 Trial: 55 Epoch: 4, train_loss: 58036.711181640625, validation_loss = 4280.681640625
 Trial: 55 Epoch: 5, train_loss: 43670.82922363281, validation_loss = 8092.176513671875
 Trial: 55 Epoch: 6, train_loss: 31706.664306640625, validation_loss = 4913.22021484375
 Trial: 55 Epoch: 7, train_loss: 30435.896728515625, validation_loss = 4707.300048828125
 Trial: 55 Epoch: 8, train_loss: 28918.11767578125, validation_loss = 4103.8031005859375
 Trial: 55 Epoch: 9, train_loss: 28065.714599609375, validation_loss = 3580.874267578125
 Trial: 55 Epoch: 10, train_loss: 28267.069702148438, validation_loss = 4926.4732666015625
 Trial: 55 Epoch: 11, train_loss: 29956.437255859375, validation_loss = 5019.343994140625
 Trial: 55 Epoch: 12, train_loss: 31624.033813476562, validation_loss = 3918.0484619140625
 Trial: 55 Epoch: 13, train_loss: 29150.589599609375, validation_loss = 5438.11767578125
 Trial: 55 Epoch: 14, train_loss: 27971.288818359375, validation_loss = 3419.5123291015625
 Trial: 55 Epoch: 15, train_loss: 26698.075805664062, validation_loss = 3846.75341796875
 Trial: 55 Epoch: 16, train_loss: 24641.443969726562, validation_loss = 3655.9710693359375
 Trial: 55 Epoch: 17, train_loss: 24051.925354003906, validation_loss = 4137.638427734375
 Trial: 55 Epoch: 18, train_loss: 26107.980712890625, validation_loss = 3433.85498046875
 Trial: 55 Epoch: 19, train_loss: 26623.697387695312, validation_loss = 3761.8883056640625
 Trial: 55 Epoch: 20, train_loss: 27011.739624023438, validation_loss = 3508.4091796875
 Trial: 55 Epoch: 21, train_loss: 27430.959228515625, validation_loss = 6097.5419921875
 Trial: 55 Epoch: 22, train_loss: 31220.640014648438, validation_loss = 4037.9874267578125
 Trial: 55 Epoch: 23, train_loss: 30613.50311279297, validation_loss = 5492.849853515625
 Trial: 55 Epoch: 24, train_loss: 31174.243530273438, validation_loss = 4179.629638671875
 Trial: 55 Epoch: 25, train_loss: 27418.039184570312, validation_loss = 4690.872802734375
 Trial: 55 Epoch: 26, train_loss: 27648.643920898438, validation_loss = 3380.413818359375
 Trial: 55 Epoch: 27, train_loss: 24381.509216308594, validation_loss = 2928.08251953125
 Trial: 55 Epoch: 28, train_loss: 24272.062866210938, validation_loss = 3429.9796142578125
 Trial: 55 Epoch: 29, train_loss: 25437.888427734375, validation_loss = 3228.16943359375
 Trial: 55 Epoch: 30, train_loss: 25584.978881835938, validation_loss = 4126.4761962890625
 Trial: 55 Epoch: 31, train_loss: 28018.787963867188, validation_loss = 4758.4368896484375
 Trial: 55 Epoch: 32, train_loss: 29409.75830078125, validation_loss = 3261.8077392578125
 Trial: 55 Epoch: 33, train_loss: 23705.969360351562, validation_loss = 3186.5816650390625
 Trial: 55 Epoch: 34, train_loss: 24270.419189453125, validation_loss = 3001.4200439453125
 Trial: 55 Epoch: 35, train_loss: 23565.448486328125, validation_loss = 3427.9375
 Trial: 55 Epoch: 36, train_loss: 24648.907470703125, validation_loss = 3706.6981201171875
 Trial: 55 Epoch: 37, train_loss: 25042.613647460938, validation_loss = 3801.5321044921875
 Trial: 55 Epoch: 38, train_loss: 24234.308349609375, validation_loss = 3161.5233154296875
 Trial: 55 Epoch: 39, train_loss: 22463.266540527344, validation_loss = 2966.8228759765625
 Trial: 55 Epoch: 40, train_loss: 21620.859741210938, validation_loss = 3120.309326171875
 Trial: 55 Epoch: 41, train_loss: 21011.48370361328, validation_loss = 2843.903076171875
 Trial: 55 Epoch: 42, train_loss: 20968.684326171875, validation_loss = 2833.8172607421875
 Trial: 55 Epoch: 43, train_loss: 23630.737670898438, validation_loss = 3279.4759521484375
 Trial: 55 Epoch: 44, train_loss: 23237.759643554688, validation_loss = 3227.968017578125
 Trial: 55 Epoch: 45, train_loss: 23703.09100341797, validation_loss = 3295.03515625
 Trial: 55 Epoch: 46, train_loss: 24189.206420898438, validation_loss = 3733.3104248046875
 Trial: 55 Epoch: 47, train_loss: 22340.938232421875, validation_loss = 2829.33740234375
 Trial: 55 Epoch: 48, train_loss: 22739.315063476562, validation_loss = 2829.326171875
 Trial: 55 Epoch: 49, train_loss: 21227.130004882812, validation_loss = 3655.225341796875
 Trial: 55 Epoch: 50, train_loss: 22052.10009765625, validation_loss = 3047.9622802734375
 Trial: 55 Epoch: 51, train_loss: 21236.021850585938, validation_loss = 2896.0687255859375
 Trial: 55 Epoch: 52, train_loss: 24665.951904296875, validation_loss = 3801.884521484375
